abidjan,Africa/Abidjan
honolulu,Pacific/Honolulu
houston,US/Central
hovd,Asia/Hovd
indianapolis,America/Indianapolis
inuvik,America/Inuvik
iqaluit,America/Iqaluit
irkutsk,Asia/Irkutsk
istanbul,Europe/Istanbul
jackson,US/Mountain
jacksonville,US/Central
jakarta,Asia/Jakarta
jamestown,US/Central
jayapura,Asia/Jayapura
jefferson city,US/Central
jerusalem,Asia/Jerusalem
johannesburg,Africa/Johannesburg
juba,Africa/Juba
juneau,America/Juneau
kabul,Asia/Kabul
kaliningrad,Europe/Kaliningrad
kampala,Africa/Kampala
kansas city,US/Central
karachi,Asia/Karachi
kathmandu,Asia/Kathmandu
khartoum,Africa/Khartoum
kigali,Africa/Kigali
kinshasa,Africa/Kinshasa
kiritimati,Pacific/Kiritimati
knoxville,US/Central
kolkata,Asia/Kolkata
krasnoyarsk,Asia/Krasnoyarsk
kuala lumpur,Asia/Kuala_Lumpur
la paz,America/La_Paz
lagos,Africa/Lagos
las vegas,US/Pacific
libreville,Africa/Libreville
lima,America/Lima
lincoln,US/Central
lisbon,Europe/Lisbon
little rock,US/Central
ljubljana,Europe/Ljubljana
london,Europe/London
long beach,US/Pacific
longyearbyen,Arctic/Longyearbyen
los angeles,America/Los_Angeles
louisville,America/Louisville
luanda,Africa/Luanda
lubumbashi,Africa/Lubumbashi
lusaka,Africa/Lusaka
luxembourg,Europe/Luxembourg
madison,US/Central
madrid,Europe/Madrid
magadan,Asia/Magadan
majuro,Pacific/Majuro
makassar,Asia/Makassar
malabo,Africa/Malabo
managua,America/Managua
manaus,America/Manaus
manila,Asia/Manila
maputo,Africa/Maputo
maseru,Africa/Maseru
mazatlan,America/Mazatlan
mbabane,Africa/Mbabane
medina,US/Eastern
melbourne,Australia/Melbourne
memphis,US/Eastern
mendoza,America/Mendoza
merida,America/Merida
mexico city,America/Mexico_City
miami,US/Central
midland,US/Central
midway,Pacific/Midway
milan,US/Eastern
milwaukee,US/Central
minneapolis,US/Central
minsk,Europe/Minsk
mogadishu,Africa/Mogadishu
monaco,Europe/Monaco
monrovia,Africa/Monrovia
montevideo,America/Montevideo
montgomery,US/Central
montpelier,US/Eastern
montreal,America/Montreal
moscow,Europe/Moscow
muscat,Asia/Muscat
nairobi,Africa/Nairobi
nassau,America/Nassau
ndjamena,Africa/Ndjamena
new orleans,US/Central
new york,America/New_York
newark,US/Eastern
niamey,Africa/Niamey
nicosia,Europe/Nicosia
nouakchott,Africa/Nouakchott
noumea,Pacific/Noumea
novosibirsk,Asia/Novosibirsk
oakland,US/Pacific
oklahoma city,US/Central
omsk,Asia/Omsk
oral,Asia/Oral
orlando,US/Eastern
oslo,Europe/Oslo
ottawa,US/Central
ouagadougou,Africa/Ouagadougou
panama,America/Panama
paramaribo,America/Paramaribo
paris,Europe/Paris
pensacola,US/Eastern
perth,Australia/Perth
philadelphia,US/Eastern
phnom penh,Asia/Phnom_Penh
phoenix,America/Phoenix
pierre,US/Central
pittsburgh,US/Eastern
podgorica,Europe/Podgorica
pontianak,Asia/Pontianak
port moresby,Pacific/Port_Moresby
port of spain,America/Port_of_Spain
port-au-prince,America/Port-au-Prince
portland,US/Pacific
prague,Europe/Prague
providence,US/Eastern
pyongyang,Asia/Pyongyang
raleigh,US/Eastern
rapid city,US/Central
rarotonga,Pacific/Rarotonga
recife,America/Recife
regina,America/Regina
reykjavik,Atlantic/Reykjavik
richmond,US/Pacific
riga,Europe/Riga
rio branco,America/Rio_Branco
riyadh,Asia/Riyadh
rome,Europe/Rome
rosario,America/Rosario
rotterdam,US/Eastern
sacramento,US/Pacific
salem,US/Pacific
salt lake city,US/Mountain
samara,Europe/Samara
san diego,US/Pacific
san francisco,US/Pacific
san juan,US/Central
san marino,Europe/San_Marino
santa ana,US/Pacific
santa fe,US/Mountain
santiago,America/Santiago
santo domingo,America/Santo_Domingo
sarajevo,Europe/Sarajevo
seattle,US/Pacific
seoul,Asia/Seoul
shanghai,Asia/Shanghai
sikeston,US/Central
singapore,Singapore
sioux falls,US/Central
skopje,Europe/Skopje
sofia,Europe/Sofia
srednekolymsk,Asia/Srednekolymsk
st. louis,US/Central
st. paul,US/Central
stanley,Atlantic/Stanley
stockholm,Europe/Stockholm
stuttgart,US/Central
sydney,Australia/Sydney
taipei,Asia/Taipei
tallinn,Europe/Tallinn
tampa,US/Eastern
tarawa,Pacific/Tarawa
tashkent,Asia/Tashkent
tbilisi,Asia/Tbilisi
tegucigalpa,America/Tegucigalpa
tehran,Asia/Tehran
tel aviv,Asia/Tel_Aviv
thimphu,Asia/Thimphu
tijuana,America/Tijuana
timbuktu,Africa/Timbuktu
tokyo,Asia/Tokyo
toledo,US/Eastern
topeka,US/Central
toronto,America/Toronto
trenton,US/Eastern
tripoli,Africa/Tripoli
tucson,US/Mountain
tunis,Africa/Tunis
ulaanbaatar,Asia/Ulaanbaatar
vaduz,Europe/Vaduz
vancouver,America/Vancouver
victoria,Australia/Victoria
vienna,Europe/Vienna
vientiane,Asia/Vientiane
vilnius,Europe/Vilnius
virginia beach,US/Eastern
vladivostok,Asia/Vladivostok
warsaw,Europe/Warsaw
washington dc,US/Eastern
wellington,US/Central
whitehorse,America/Whitehorse
wichita,US/Central
windhoek,Africa/Windhoek
winnipeg,America/Winnipeg
yakutsk,Asia/Yakutsk
yekaterinburg,Asia/Yekaterinburg
yellowknife,America/Yellowknife
yerevan,Asia/Yerevan
zagreb,Europe/Zagreb
